[2026-04-20 00:05:46,961] 46 root - INFO - Initiated the data ingestion
[2026-04-20 00:05:59,762] 65 root - INFO - Performed train test split on the dataframe
[2026-04-20 00:05:59,763] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-20 00:05:59,763] 75 root - INFO - Exporting train and test file path.
[2026-04-20 00:05:59,878] 84 root - INFO - Exported train and test file path.
[2026-04-20 00:05:59,879] 48 root - INFO - Data ingestion completed
[2026-04-20 00:05:59,886] 59 root - INFO - Initiated the data validation
[2026-04-20 00:06:00,046] 32 root - INFO - Required number of columns:2
[2026-04-20 00:06:00,046] 33 root - INFO - Data frame has columns:31
[2026-04-20 00:06:00,048] 32 root - INFO - Required number of columns:2
[2026-04-20 00:06:00,048] 33 root - INFO - Data frame has columns:31
[2026-04-20 00:06:00,302] 61 root - INFO - Data validation completed
[2026-04-20 00:06:00,303] 70 root - INFO - Data transformation started
[2026-04-20 00:06:00,303] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-04-20 00:06:00,303] 65 root - INFO - Starting data transformation
[2026-04-20 00:06:00,357] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-04-20 00:06:00,357] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-20 00:06:00,377] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 00:06:00,384] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 00:06:00,384] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 00:06:00,387] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 00:06:00,390] 83 root - INFO - Data transformation completed
[2026-04-20 00:06:00,390] 86 root - INFO - Model training started
